지점,일시,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),합계 일사(MJ/m2)
105,1920-01-01,-5.9,1.9,,9.4,49.7,
105,1920-01-02,-6.7,5.2,,7.3,52.3,
105,1920-01-03,-7.2,.6,.6,5.6,59.7,
105,1920-01-04,-10.5,-.2,,9.1,48.3,
105,1920-01-05,-8.4,4.8,,9.6,46.7,
105,1920-01-06,-3.7,5.5,,9.2,53.7,
105,1920-01-07,-4.2,6,.2,6.4,71,
105,1920-01-08,-5.5,-1,,13.2,51.3,
105,1920-01-09,-6.3,5.9,,7.7,41.3,
105,1920-01-10,-3.5,6.5,,7.1,58,
105,1920-01-11,-.5,7.4,,5.3,62.3,
105,1920-01-12,-.5,6.2,30.4,5.3,87.7,
105,1920-01-13,-7.5,1.2,18.5,9,79.3,
105,1920-01-14,-13.6,-6.5,,15.4,55.3,
105,1920-01-15,-13.8,-6.3,,13.4,43.7,
105,1920-01-16,-12.2,-5.3,,12.3,40.3,
105,1920-01-17,-8.4,-1.1,,11.8,50.7,
105,1920-01-18,-5.2,2.4,,10.9,51.7,
105,1920-01-19,-2.8,5.3,,6.7,56,
105,1920-01-20,-2.2,5,0,5.9,53.3,
105,1920-01-21,-6.5,0,0,6.3,51.7,
105,1920-01-22,-10.3,-1,,6.4,47.3,
105,1920-01-23,-9.1,4.9,,6.4,45.7,
105,1920-01-24,-3.5,2,,7.4,62.7,
105,1920-01-25,-6.8,2.4,,6.7,52.7,
105,1920-01-26,-4.8,7,,7.6,52.3,
105,1920-01-27,.3,10,,7.2,49.3,
105,1920-01-28,-.5,4.2,22.7,2.8,92.3,
105,1920-01-29,-.3,1.9,18.3,4.5,87,
105,1920-01-30,-3.7,8.2,,4.5,75.7,
105,1920-01-31,-4.5,6.7,.3,2,86,
105,1920-02-01,1,4,9.8,2.2,95.3,
105,1920-02-02,-4.7,5.5,.4,6.9,71.7,
105,1920-02-03,-7.6,-.4,,10.6,40.7,
105,1920-02-04,-6.4,3,,7.3,49.7,
