지점,시작일,종료일,지점명,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))
90,1968.01.01, ,속초,속초기상대(90),38.2509,128.5647,18.06,19.600,1.700,10.000,1.400
93,2016.10.01, ,북춘천,춘천기상대(101),37.9475,127.7547,95.61,97.010,1.500,10.000,1.400
95,1988.01.01, ,철원,춘천기상대(101),38.1479,127.3042,155.48,156.980,1.800,13.000,1.500
98,1998.02.01, ,동두천,수도권기상청(119),37.9019,127.0607,115.62,116.740,1.700,10.000,1.000
99,2013.10.22, ,파주,수도권기상청(119),37.8859,126.7665,30.59,31.990,1.700,10.000,1.000
99,2001.12.07,20131022,문산,파주기상대(99),37.8859,126.7665,29.42,31.400,1.700,10.000,0.500
100,2006.11.07, ,대관령,대관령기상대(100),37.6771,128.7183,772.57,774.100,1.700,10.000,1.400
100,1971.07.15,20061106,대관령,,37.6869,128.7587,842.52,843.960,1.500,10.000,1.600
101,1966.01.01, ,춘천,춘천기상대(101),37.9026,127.7357,76.47,77.600,1.500,10.000,1.400
102,2018.05.01, ,백령도,백령도기상대(102),37.974,124.7124,36,37.200,1.800,9.000,1.200
102,2000.11.01,20180501,백령도,백령도기상대(102),37.9661,124.6305,146,147.200,1.800,9.000,1.200
104,2008.07.28, ,북강릉,강릉(구 105),37.8046,128.8554,78.9,80.400,1.700,10.000,1.400
105,1911.10.03, ,강릉,강릉(구 105),37.7515,128.891,26.04,27.500,1.700,10.000,0.500
106,1992.05.01, ,동해,동해기상대(106),37.5071,129.1243,39.91,41.400,1.700,10.000,1.400
108,2010.08.16, ,서울,서울기상관측소(108),37.5714,126.9658,85.67,86.670,1.500,10.000,0.500
108,1907.10.01,20100815,서울,서울기상관측소(108),37.5714,126.9658,85.5,86.500,1.500,10.000,0.600
112,2013.10.22, ,인천,인천기상대(112),37.4777,126.6249,68.99,70.190,1.600,10.000,1.200
112,1904.08.29,20131022,인천,인천기상대(112),37.4776,126.6244,68.15,70.150,1.500,10.000,0.600
114,1971.09.06, ,원주,원주기상대(114),37.3376,127.9466,148.6,150.100,1.700,14.000,1.400
115,1938.08.10, ,울릉도,울릉도기상대(115),37.4813,130.8986,222.4,223.700,1.600,10.000,1.300
116,1984.01.01,19901231,관악산,,37.4442,126.9639,626.76,627.960,1.400,3.900,1.100
119,1964.01.01, ,수원,수도권기상청(119),37.2723,126.9853,34.84,35.840,1.600,18.700,1.100
121,1994.12.01, ,영월,영월기상대(121),37.1813,128.4574,240.6,242.100,1.700,10.000,1.400
127,1972.01.01, ,충주,청주기상대(131),36.9704,127.9527,116.3,117.700,1.650,10.000,1.000
129,1968.01.01, ,서산,홍성기상대(서산 129),36.7766,126.4939,28.91,30.100,1.600,20.200,1.100
130,1971.01.12, ,울진,대구(구 143),36.9918,129.4128,50,51.500,1.750,10.000,1.300
131,1967.01.01, ,청주,청주기상대(131),36.6392,127.4407,58.7,60.100,1.700,10.000,0.800
133,1969.01.01, ,대전,대전지방기상청(133),36.372,127.3721,68.94,70.400,1.600,19.800,1.200
135,1937.01.11, ,추풍령,청주기상대(131),36.2202,127.9946,243.7,244.900,1.600,10.000,1.100
136,1983.01.01, ,안동,안동기상대(136),36.5729,128.7073,140.1,141.600,1.800,10.000,1.300
136,1973.01.01,19780501,안동,,36.573,128.7073,139.39,141.400,1.500,10.000,0.600
137,2002.01.01, ,상주,대구(구 143),36.4084,128.1574,96.17,97.670,1.800,10.000,1.400
138,1943.01.01, ,포항,포항기상대(138),36.032,129.380,3.94,4.920,1.600,10.000,1.200
140,2003.12.31, ,군산,전주기상대(146),36.0053,126.7614,23.2,24.600,1.700,10.000,1.000
